ip_release_date,release_month
16/10/1986,30/09/1986
14/11/1986,31/10/1986
15/12/1986,30/11/1986
16/01/1987,31/12/1986
13/02/1987,31/01/1987
13/03/1987,28/02/1987
15/04/1987,31/03/1987
15/05/1987,30/04/1987
16/06/1987,31/05/1987
15/07/1987,30/06/1987
14/08/1987,31/07/1987
15/09/1987,31/08/1987
16/10/1987,30/09/1987
16/11/1987,31/10/1987
14/12/1987,30/11/1987
15/01/1988,31/12/1987
17/02/1988,31/01/1988
16/03/1988,29/02/1988
15/04/1988,31/03/1988
16/05/1988,30/04/1988
15/06/1988,31/05/1988
15/07/1988,30/06/1988
15/08/1988,31/07/1988
14/09/1988,31/08/1988
14/10/1988,30/09/1988
15/11/1988,31/10/1988
14/12/1988,30/11/1988
18/01/1989,31/12/1988
15/02/1989,31/01/1989
16/03/1989,28/02/1989
14/04/1989,31/03/1989
15/05/1989,30/04/1989
15/06/1989,31/05/1989
14/07/1989,30/06/1989
16/08/1989,31/07/1989
15/09/1989,31/08/1989
17/10/1989,30/09/1989
14/11/1989,31/10/1989
15/12/1989,30/11/1989
17/01/1990,31/12/1989
16/02/1990,31/01/1990
16/03/1990,28/02/1990
17/04/1990,31/03/1990
15/05/1990,30/04/1990
15/06/1990,31/05/1990
17/07/1990,30/06/1990
15/08/1990,31/07/1990
14/09/1990,31/08/1990
17/10/1990,30/09/1990
13/11/1990,31/10/1990
14/12/1990,30/11/1990
16/01/1991,31/12/1990
15/02/1991,31/01/1991
15/03/1991,28/02/1991
16/04/1991,31/03/1991
13/05/1991,30/04/1991
14/06/1991,31/05/1991
15/07/1991,30/06/1991
16/08/1991,31/07/1991
17/09/1991,31/08/1991
17/10/1991,30/09/1991
15/11/1991,31/10/1991
16/12/1991,30/11/1991
17/01/1992,31/12/1991
14/02/1992,31/01/1992
17/03/1992,29/02/1992
15/04/1992,31/03/1992
15/05/1992,30/04/1992
16/06/1992,31/05/1992
15/07/1992,30/06/1992
14/08/1992,31/07/1992
16/09/1992,31/08/1992
16/10/1992,30/09/1992
16/11/1992,31/10/1992
16/12/1992,30/11/1992
15/01/1993,31/12/1992
18/02/1993,31/01/1993
17/03/1993,28/02/1993
16/04/1993,31/03/1993
14/05/1993,30/04/1993
16/06/1993,31/05/1993
16/07/1993,30/06/1993
16/08/1993,31/07/1993
16/09/1993,31/08/1993
15/10/1993,30/09/1993
15/11/1993,31/10/1993
15/12/1993,30/11/1993
14/01/1994,31/12/1993
15/02/1994,31/01/1994
15/03/1994,28/02/1994
15/04/1994,31/03/1994
16/05/1994,30/04/1994
15/06/1994,31/05/1994
15/07/1994,30/06/1994
15/08/1994,31/07/1994
16/09/1994,31/08/1994
14/10/1994,30/09/1994
15/11/1994,31/10/1994
14/12/1994,30/11/1994
17/01/1995,31/12/1994
15/02/1995,31/01/1995
15/03/1995,28/02/1995
14/04/1995,31/03/1995
16/05/1995,30/04/1995
15/06/1995,31/05/1995
14/07/1995,30/06/1995
15/08/1995,31/07/1995
15/09/1995,31/08/1995
17/10/1995,30/09/1995
15/11/1995,31/10/1995
14/12/1995,30/11/1995
24/01/1996,31/12/1995
16/02/1996,31/01/1996
15/03/1996,29/02/1996
16/04/1996,31/03/1996
15/05/1996,30/04/1996
14/06/1996,31/05/1996
16/07/1996,30/06/1996
15/08/1996,31/07/1996
17/09/1996,31/08/1996
17/10/1996,30/09/1996
15/11/1996,31/10/1996
16/12/1996,30/11/1996
17/01/1997,31/12/1996
14/02/1997,31/01/1997
14/03/1997,28/02/1997
16/04/1997,31/03/1997
15/05/1997,30/04/1997
17/06/1997,31/05/1997
16/07/1997,30/06/1997
14/08/1997,31/07/1997
16/09/1997,31/08/1997
17/10/1997,30/09/1997
17/11/1997,31/10/1997
15/12/1997,30/11/1997
16/01/1998,31/12/1997
17/02/1998,31/01/1998
17/03/1998,28/02/1998
17/04/1998,31/03/1998
15/05/1998,30/04/1998
16/06/1998,31/05/1998
16/07/1998,30/06/1998
14/08/1998,31/07/1998
16/09/1998,31/08/1998
16/10/1998,30/09/1998
16/11/1998,31/10/1998
16/12/1998,30/11/1998
15/01/1999,31/12/1998
17/02/1999,31/01/1999
16/03/1999,28/02/1999
16/04/1999,31/03/1999
14/05/1999,30/04/1999
16/06/1999,31/05/1999
16/07/1999,30/06/1999
17/08/1999,31/07/1999
16/09/1999,31/08/1999
15/10/1999,30/09/1999
16/11/1999,31/10/1999
15/12/1999,30/11/1999
14/01/2000,31/12/1999
15/02/2000,31/01/2000
15/03/2000,29/02/2000
14/04/2000,31/03/2000
15/05/2000,30/04/2000
15/06/2000,31/05/2000
14/07/2000,30/06/2000
15/08/2000,31/07/2000
15/09/2000,31/08/2000
17/10/2000,30/09/2000
15/11/2000,31/10/2000
15/12/2000,30/11/2000
17/01/2001,31/12/2000
16/02/2001,31/01/2001
16/03/2001,28/02/2001
17/04/2001,31/03/2001
14/05/2001,30/04/2001
15/06/2001,31/05/2001
17/07/2001,30/06/2001
15/08/2001,31/07/2001
14/09/2001,31/08/2001
16/10/2001,30/09/2001
16/11/2001,31/10/2001
14/12/2001,30/11/2001
16/01/2002,31/12/2001
15/02/2002,31/01/2002
15/03/2002,28/02/2002
16/04/2002,31/03/2002
15/05/2002,30/04/2002
14/06/2002,31/05/2002
16/07/2002,30/06/2002
15/08/2002,31/07/2002
17/09/2002,31/08/2002
17/10/2002,30/09/2002
15/11/2002,31/10/2002
17/12/2002,30/11/2002
17/01/2003,31/12/2002
14/02/2003,31/01/2003
14/03/2003,28/02/2003
15/04/2003,31/03/2003
15/05/2003,30/04/2003
17/06/2003,31/05/2003
16/07/2003,30/06/2003
15/08/2003,31/07/2003
15/09/2003,31/08/2003
16/10/2003,30/09/2003
14/11/2003,31/10/2003
16/12/2003,30/11/2003
16/01/2004,31/12/2003
17/02/2004,31/01/2004
15/03/2004,29/02/2004
16/04/2004,31/03/2004
14/05/2004,30/04/2004
16/06/2004,31/05/2004
15/07/2004,30/06/2004
17/08/2004,31/07/2004
15/09/2004,31/08/2004
15/10/2004,30/09/2004
17/11/2004,31/10/2004
14/12/2004,30/11/2004
14/01/2005,31/12/2004
16/02/2005,31/01/2005
16/03/2005,28/02/2005
15/04/2005,31/03/2005
17/05/2005,30/04/2005
15/06/2005,31/05/2005
15/07/2005,30/06/2005
16/08/2005,31/07/2005
14/09/2005,31/08/2005
14/10/2005,30/09/2005
17/11/2005,31/10/2005
15/12/2005,30/11/2005
17/01/2006,31/12/2005
15/02/2006,31/01/2006
17/03/2006,28/02/2006
14/04/2006,31/03/2006
16/05/2006,30/04/2006
15/06/2006,31/05/2006
17/07/2006,30/06/2006
16/08/2006,31/07/2006
15/09/2006,31/08/2006
17/10/2006,30/09/2006
16/11/2006,31/10/2006
15/12/2006,30/11/2006
17/01/2007,31/12/2006
15/02/2007,31/01/2007
16/03/2007,28/02/2007
17/04/2007,31/03/2007
16/05/2007,30/04/2007
15/06/2007,31/05/2007
17/07/2007,30/06/2007
15/08/2007,31/07/2007
14/09/2007,31/08/2007
16/10/2007,30/09/2007
16/11/2007,31/10/2007
14/12/2007,30/11/2007
16/01/2008,31/12/2007
15/02/2008,31/01/2008
17/03/2008,29/02/2008
16/04/2008,31/03/2008
15/05/2008,30/04/2008
17/06/2008,31/05/2008
16/07/2008,30/06/2008
15/08/2008,31/07/2008
15/09/2008,31/08/2008
16/10/2008,30/09/2008
17/11/2008,31/10/2008
15/12/2008,30/11/2008
16/01/2009,31/12/2008
18/02/2009,31/01/2009
16/03/2009,28/02/2009
15/04/2009,31/03/2009
15/05/2009,30/04/2009
16/06/2009,31/05/2009
15/07/2009,30/06/2009
14/08/2009,31/07/2009
16/09/2009,31/08/2009
16/10/2009,30/09/2009
17/11/2009,31/10/2009
15/12/2009,30/11/2009
15/01/2010,31/12/2009
17/02/2010,31/01/2010
15/03/2010,28/02/2010
15/04/2010,31/03/2010
14/05/2010,30/04/2010
16/06/2010,31/05/2010
15/07/2010,30/06/2010
17/08/2010,31/07/2010
15/09/2010,31/08/2010
18/10/2010,30/09/2010
16/11/2010,31/10/2010
15/12/2010,30/11/2010
14/01/2011,31/12/2010
16/02/2011,31/01/2011
17/03/2011,28/02/2011
15/04/2011,31/03/2011
17/05/2011,30/04/2011
15/06/2011,31/05/2011
15/07/2011,30/06/2011
16/08/2011,31/07/2011
15/09/2011,31/08/2011
17/10/2011,30/09/2011
16/11/2011,31/10/2011
15/12/2011,30/11/2011
18/01/2012,31/12/2011
15/02/2012,31/01/2012
16/03/2012,29/02/2012
17/04/2012,31/03/2012
16/05/2012,30/04/2012
15/06/2012,31/05/2012
17/07/2012,30/06/2012
15/08/2012,31/07/2012
14/09/2012,31/08/2012
16/10/2012,30/09/2012
16/11/2012,31/10/2012
14/12/2012,30/11/2012
16/01/2013,31/12/2012
15/02/2013,31/01/2013
15/03/2013,28/02/2013
16/04/2013,31/03/2013
15/05/2013,30/04/2013
14/06/2013,31/05/2013
16/07/2013,30/06/2013
15/08/2013,31/07/2013
16/09/2013,31/08/2013
28/10/2013,30/09/2013
15/11/2013,31/10/2013
16/12/2013,30/11/2013
17/01/2014,31/12/2013
14/02/2014,31/01/2014
17/03/2014,28/02/2014
16/04/2014,31/03/2014
15/05/2014,30/04/2014
16/06/2014,31/05/2014
16/07/2014,30/06/2014
15/08/2014,31/07/2014
15/09/2014,31/08/2014
16/10/2014,30/09/2014
17/11/2014,31/10/2014
15/12/2014,30/11/2014
16/01/2015,31/12/2014
18/02/2015,31/01/2015
16/03/2015,28/02/2015
15/04/2015,31/03/2015
15/05/2015,30/04/2015
15/06/2015,31/05/2015
15/07/2015,30/06/2015
14/08/2015,31/07/2015
15/09/2015,31/08/2015
16/10/2015,30/09/2015
17/11/2015,31/10/2015
16/12/2015,30/11/2015
